x,y,ux,uy
   7.00000e-01,   5.50000e-01,  -1.73081e-03,   1.33241e-02
   7.50000e-01,   5.50000e-01,  -2.16505e-03,   1.33769e-02
   8.00000e-01,   5.50000e-01,  -2.59910e-03,   1.34384e-02
   8.50000e-01,   5.50000e-01,  -3.03199e-03,   1.35056e-02
   9.00000e-01,   5.50000e-01,  -3.46257e-03,   1.35743e-02
   9.50000e-01,   5.50000e-01,  -3.88984e-03,   1.36389e-02
   1.00000e+00,   5.50000e-01,  -4.31335e-03,   1.36921e-02
   0.00000e+00,   6.00000e-01,   4.35782e-03,   1.49010e-02
   5.00000e-02,   6.00000e-01,   3.93166e-03,   1.48610e-02
   1.00000e-01,   6.00000e-01,   3.50218e-03,   1.48096e-02
   1.50000e-01,   6.00000e-01,   3.06940e-03,   1.47531e-02
   2.00000e-01,   6.00000e-01,   2.63386e-03,   1.46963e-02
   2.50000e-01,   6.00000e-01,   2.19633e-03,   1.46433e-02
   3.00000e-01,   6.00000e-01,   1.75759e-03,   1.45969e-02
   3.50000e-01,   6.00000e-01,   1.31828e-03,   1.45592e-02
   4.00000e-01,   6.00000e-01,   8.78803e-04,   1.45315e-02
   4.50000e-01,   6.00000e-01,   4.39369e-04,   1.45146e-02
   5.00000e-01,   6.00000e-01,  -3.78411e-16,   1.45090e-02
   5.50000e-01,   6.00000e-01,  -4.39369e-04,   1.45146e-02
   6.00000e-01,   6.00000e-01,  -8.78803e-04,   1.45315e-02
   6.50000e-01,   6.00000e-01,  -1.31828e-03,   1.45592e-02
   7.00000e-01,   6.00000e-01,  -1.75759e-03,   1.45969e-02
   7.50000e-01,   6.00000e-01,  -2.19633e-03,   1.46433e-02
   8.00000e-01,   6.00000e-01,  -2.63386e-03,   1.46963e-02
   8.50000e-01,   6.00000e-01,  -3.06940e-03,   1.47531e-02
   9.00000e-01,   6.00000e-01,  -3.50218e-03,   1.48096e-02
   9.50000e-01,   6.00000e-01,  -3.93166e-03,   1.48610e-02
   1.00000e+00,   6.00000e-01,  -4.35782e-03,   1.49010e-02
   0.00000e+00,   6.50000e-01,   4.38941e-03,   1.61181e-02
   5.00000e-02,   6.50000e-01,   3.96083e-03,   1.60884e-02
   1.00000e-01,   6.50000e-01,   3.52937e-03,   1.60480e-02
   1.50000e-01,   6.50000e-01,   3.09477e-03,   1.60019e-02
   2.00000e-01,   6.50000e-01,   2.65724e-03,   1.59546e-02
   2.50000e-01,   6.50000e-01,   2.21728e-03,   1.59095e-02
   3.00000e-01,   6.50000e-01,   1.77551e-03,   1.58694e-02
   3.50000e-01,   6.50000e-01,   1.33248e-03,   1.58364e-02
   4.00000e-01,   6.50000e-01,   8.88666e-04,   1.58120e-02
   4.50000e-01,   6.50000e-01,   4.44426e-04,   1.57970e-02
   5.00000e-01,   6.50000e-01,  -4.25582e-16,   1.57919e-02
   5.50000e-01,   6.50000e-01,  -4.44426e-04,   1.57970e-02
   6.00000e-01,   6.50000e-01,  -8.88666e-04,   1.58120e-02
   6.50000e-01,   6.50000e-01,  -1.33248e-03,   1.58364e-02
   7.00000e-01,   6.50000e-01,  -1.77551e-03,   1.58694e-02
   7.50000e-01,   6.50000e-01,  -2.21728e-03,   1.59095e-02
   8.00000e-01,   6.50000e-01,  -2.65724e-03,   1.59546e-02
   8.50000e-01,   6.50000e-01,  -3.09477e-03,   1.60019e-02
   9.00000e-01,   6.50000e-01,  -3.52937e-03,   1.60480e-02
   9.50000e-01,   6.50000e-01,  -3.96083e-03,   1.60884e-02
   1.00000e+00,   6.50000e-01,  -4.38941e-03,   1.61181e-02
   0.00000e+00,   7.00000e-01,   4.41120e-03,   1.73424e-02
   5.00000e-02,   7.00000e-01,   3.98046e-03,   1.73208e-02
   1.00000e-01,   7.00000e-01,   3.54725e-03,   1.72893e-02
   1.50000e-01,   7.00000e-01,   3.11114e-03,   1.72522e-02
   2.00000e-01,   7.00000e-01,   2.67214e-03,   1.72131e-02
   2.50000e-01,   7.00000e-01,   2.23054e-03,   1.71752e-02
   3.00000e-01,   7.00000e-01,   1.78680e-03,   1.71411e-02
   3.50000e-01,   7.00000e-01,   1.34142e-03,   1.71127e-02
   4.00000e-01,   7.00000e-01,   8.94878e-04,   1.70915e-02
   4.50000e-01,   7.00000e-01,   4.47613e-04,   1.70784e-02
   5.00000e-01,   7.00000e-01,  -4.78298e-16,   1.70740e-02
   5.50000e-01,   7.00000e-01,  -4.47613e-04,   1.70784e-02
   6.00000e-01,   7.00000e-01,  -8.94878e-04,   1.70915e-02
   6.50000e-01,   7.00000e-01,  -1.34142e-03,   1.71127e-02
   7.00000e-01,   7.00000e-01,  -1.78680e-03,   1.71411e-02
   7.50000e-01,   7.00000e-01,  -2.23054e-03,   1.71752e-02
   8.00000e-01,   7.00000e-01,  -2.67214e-03,   1.72131e-02
   8.50000e-01,   7.00000e-01,  -3.11114e-03,   1.72522e-02
   9.00000e-01,   7.00000e-01,  -3.54725e-03,   1.72893e-02
   9.50000e-01,   7.00000e-01,  -3.98046e-03,   1.73208e-02
   1.00000e+00,   7.00000e-01,  -4.41120e-03,   1.73424e-02
   0.00000e+00,   7.50000e-01,   4.42562e-03,   1.85732e-02
   5.00000e-02,   7.50000e-01,   3.99297e-03,   1.85578e-02
   1.00000e-01,   7.50000e-01,   3.55825e-03,   1.85336e-02
   1.50000e-01,   7.50000e-01,   3.12092e-03,   1.85040e-02
   2.00000e-01,   7.50000e-01,   2.68084e-03,   1.84721e-02
   2.50000e-01,   7.50000e-01,   2.23817e-03,   1.84406e-02
   3.00000e-01,   7.50000e-01,   1.79325e-03,   1.84119e-02
   3.50000e-01,   7.50000e-01,   1.34651e-03,   1.83878e-02
   4.00000e-01,   7.50000e-01,   8.98410e-04,   1.83697e-02
   4.50000e-01,   7.50000e-01,   4.49425e-04,   1.83584e-02
   5.00000e-01,   7.50000e-01,  -5.31874e-16,   1.83546e-02
   5.50000e-01,   7.50000e-01,  -4.49425e-04,   1.83584e-02
   6.00000e-01,   7.50000e-01,  -8.98410e-04,   1.83697e-02
   6.50000e-01,   7.50000e-01,  -1.34651e-03,   1.83878e-02
   7.00000e-01,   7.50000e-01,  -1.79325e-03,   1.84119e-02
   7.50000e-01,   7.50000e-01,  -2.23817e-03,   1.84406e-02
   8.00000e-01,   7.50000e-01,  -2.68084e-03,   1.84721e-02
